zonas,areas_quartos,enderecos,precos
sul,30 m² construídos1 quarto,"Rua Itapiru, Saúde, São Paulo Zona Sul, São Paulo",1.550
sul,36 m² construídos2 quartos,"Rua Bertioga, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2.300
sul,100 m² construídos2 quartos,"Rua Dom Duarte Leopoldo, Cambuci, São Paulo Zona Sul, São Paulo",2.470
sul,74 m² construídos2 quartos,"Rua Batataes, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.800
sul,400 m² construídos6 quartos,"Rua Doutor Renan Basto, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",5.820
sul,68 m² construídos2 quartos,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.040
sul,179 m² construídos3 quartos,"Rua Peixoto Gomide, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.650
sul,110 m² construídos3 quartos,"Avenida Jamaris, Planalto Paulista, São Paulo Zona Sul, São Paulo",8.000
sul,72 m² construídos1 quarto,"Avenida Miguel Estéfno, Saúde, São Paulo Zona Sul, São Paulo",3.100
sul,66 m² construídos1 quarto,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",6.150
sul,40 m² construídos2 quartos,"Avenida Hebe Camargo, Paraisópolis, São Paulo Zona Sul, São Paulo",1.780
sul,48 m² construídos2 quartos,"Rua Alessandro Alberti, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.600
sul,90 m² construídos3 quartos,"Rua Afonso De Freitas, Paraíso, São Paulo Zona Sul, São Paulo",3.000
sul,30 m² construídos1 quarto,"Avenida Jamaris, Planalto Paulista, São Paulo Zona Sul, São Paulo",2.300
sul,74 m² construídos3 quartos,"Rua Doutor Nogueira Martins, Saúde, São Paulo Zona Sul, São Paulo",2.369
sul,62 m² construídos3 quartos,"Rua Marquês De Lages, Vila Moraes, São Paulo Zona Sul, São Paulo",1.700
sul,33 m² construídos1 quarto,"Avenida Estado, Cambuci, São Paulo Zona Sul, São Paulo",1.600
sul,50 m² construídos2 quartos,"Rua Engenheiro Francisco Pitta Brito, Jardim Promissão, São Paulo Zona Sul, São Paulo",1.700
sul,31 m² construídos1 quarto,"R. Cel. Luís Barroso, Santo Amaro, São Paulo Zona Sul, São Paulo",2.500
sul,165 m² construídos3 quartos,"Avenida Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",2.450
sul,94 m² construídos3 quartos,"Rua Afonso Celso, Vila Mariana, São Paulo Zona Sul, São Paulo",4.250
sul,83 m² construídos2 quartos,"Rua Luísa Júlia, Itaim Bibi, São Paulo Zona Sul, São Paulo",4.500
sul,142 m² construídos3 quartos,"Rua Araguari, Vila Uberabinha, São Paulo Zona Sul, São Paulo",6.200
sul,110 m² construídos2 quartos,"Rua João Cachoeira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",2.950
sul,100 m² construídos2 quartos,"Avenida Água Funda, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.360
sul,62 m² construídos1 quarto,"Rua Morais De Barros, Campo Belo, São Paulo Zona Sul, São Paulo",3.800
sul,111 m² construídos2 quartos,"Rua Muniz De Sousa, Aclimação, São Paulo Zona Sul, São Paulo",5.500
sul,46 m² construídos1 quarto,"Alameda Dos Maracatins, Indianópolis, São Paulo Zona Sul, São Paulo",4.720
sul,68 m² construídos1 quarto,"Rua Nossa Senhora Da Saúde, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.493
sul,55 m² construídos1 quarto,"Rua Praia Do Castelo, Vila Mascote, São Paulo Zona Sul, São Paulo",2.240
sul,100 m² construídos3 quartos,"Rua Urussuí, Itaim Bibi, São Paulo Zona Sul, São Paulo",4.500
sul,52 m² construídos2 quartos,"Rua Ibituruna, Parque Imperial, São Paulo Zona Sul, São Paulo",2.575
sul,155 m² construídos2 quartos,"Rua Sampaio Viana, Paraíso, São Paulo Zona Sul, São Paulo",7.280
sul,84 m² construídos3 quartos,"Rua José Da Silva Ribeiro, Vila Andrade, São Paulo Zona Sul, São Paulo",4.280
sul,85 m² construídos2 quartos,"Rua Professor Tranquilli, Vila Mariana, São Paulo Zona Sul, São Paulo",3.300
sul,90 m² construídos3 quartos,"Rua Cristóvão Pereira, Campo Belo, São Paulo Zona Sul, São Paulo",2.500
sul,34 m² construídos1 quarto,"Avenida Do Estado, Cambuci, São Paulo Zona Sul, São Paulo",1.460
sul,142 m² construídos4 quartos,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",9.000
sul,65 m² construídos3 quartos,"Rua Tenente Ubirajara Monory, Jabaquara, São Paulo Zona Sul, São Paulo",2.000
sul,80 m² construídos3 quartos,"Rua Voltaire, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",4.600
sul,54 m² construídos2 quartos,"Avenida Sargento Geraldo Sant#39ana, Jardim Taquaral, São Paulo Zona Sul, São Paulo",2.000
sul,163 m² construídos3 quartos,"Rua Padre Machado, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",7.500
sul,70 m² construídos1 quarto,"Rua Professor Aprígio Gonzaga, São Judas, São Paulo Zona Sul, São Paulo",1.300
sul,125 m² construídos3 quartos,"Rua Correia De Lemos, Chácara Inglesa, São Paulo Zona Sul, São Paulo",3.700
sul,50 m² construídos1 quarto,"Rua Mazzini, Aclimação, São Paulo Zona Sul, São Paulo",1.300
sul,80 m² construídos2 quartos,"Rua Dos Cariris Novos, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",2.100
sul,110 m² construídos2 quartos,"Rua Mariz E Barros, Jardim Da Glória, São Paulo Zona Sul, São Paulo",3.900
sul,45 m² construídos1 quarto,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",2.500
sul,70 m² construídos3 quartos,"Rua Da Chibata, Vila Andrade, São Paulo Zona Sul, São Paulo",1.600
sul,75 m² construídos2 quartos,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.300
sul,58 m² construídos2 quartos,"Av Washington Luis, Santo Amaro, São Paulo Zona Sul, São Paulo",1.450
sul,111 m² construídos3 quartos,"Rua Do Rocio, Vila Olímpia, São Paulo Zona Sul, São Paulo",9.500
sul,50 m² construídos1 quarto,"Rua Sampaio Viana, Paraíso, São Paulo Zona Sul, São Paulo",3.500
sul,50 m² construídos2 quartos,"Rua José Fernandes Caldas, Vila Santa Teresa (zona Sul), São Paulo Zona Sul, São Paulo",1.200
sul,50 m² construídos1 quarto,"Rua Santa Justina, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.435
sul,72 m² construídos2 quartos,"Rua Malebranche, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",2.900
sul,24 m² construídos1 quarto,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",2.200
sul,50 m² construídos1 quarto,"Avenida Nhandú, Planalto Paulista, São Paulo Zona Sul, São Paulo",1.275
sul,74 m² construídos1 quarto,"Rua Tutóia, Vila Mariana, São Paulo Zona Sul, São Paulo",2.186
sul,33 m² construídos1 quarto,"Avenida Jamaris, Planalto Paulista, São Paulo Zona Sul, São Paulo",1.600
sul,82 m² construídos3 quartos,"Rua José Benedito Salinas, Jardim Itapeva, São Paulo Zona Sul, São Paulo",3.100
sul,165 m² construídos3 quartos,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.300
sul,68 m² construídos2 quartos,"Rua Antônio De Macedo Soares, Campo Belo, São Paulo Zona Sul, São Paulo",2.986
sul,60 m² construídos1 quarto,"Rua Capitão Macedo, Vila Clementino, São Paulo Zona Sul, São Paulo",2.415
sul,42 m² construídos1 quarto,"Rua Afonso Braz, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",2.400
sul,50 m² construídos2 quartos,"Rua José Alves De Almeida, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.300
sul,185 m² construídos3 quartos,"Rua São Benedito, Santo Amaro, São Paulo Zona Sul, São Paulo",10.000
sul,96 m² construídos3 quartos,"Rua Andréa Paulinetti, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",2.900
sul,60 m² construídos2 quartos,"Rua Gabriel Dias, Vila Firmiano Pinto, São Paulo Zona Sul, São Paulo",1.874
sul,40 m² construídos1 quarto,"Rua Gaspar Lourenço, Vila Mariana, São Paulo Zona Sul, São Paulo",1.977
sul,120 m² construídos3 quartos,"Rua Lacedemônia, Jardim Brasil (zona Sul), São Paulo Zona Sul, São Paulo",2.463
sul,60 m² construídos2 quartos,"Rua Doutor Nogueira Martins, Saúde, São Paulo Zona Sul, São Paulo",2.200
sul,500 m² construídos4 quartos,"Rua Doutor Cristiano De Sousa, Jardim Leonor, São Paulo Zona Sul, São Paulo",7.150
sul,55 m² construídos2 quartos,"Avenida Yervant Kissajikian, Vila Constança, São Paulo Zona Sul, São Paulo",1.543
sul,250 m² construídos3 quartos,"Rua Senador Carlos Teixeira De Carvalho, Cambuci, São Paulo Zona Sul, São Paulo",4.646
sul,55 m² construídos2 quartos,"Rua Rubem De Souza, Vila Inglesa, São Paulo Zona Sul, São Paulo",1.500
sul,100 m² construídos1 quarto,"Alameda Dos Aicás, Indianópolis, São Paulo Zona Sul, São Paulo",2.500
sul,75 m² construídos1 quarto,"Rua Professor Aprígio Gonzaga, São Judas, São Paulo Zona Sul, São Paulo",1.340
sul,28 m² construídos1 quarto,"Rua Salto, Paraíso, São Paulo Zona Sul, São Paulo",3.000
sul,64 m² construídos2 quartos,"Rua Domingos De Santa Maria, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",2.000
sul,60 m² construídos2 quartos,"Avenida Giovanni Gronchi, Vila Andrade, São Paulo Zona Sul, São Paulo",1.700
sul,60 m² construídos2 quartos,"Rua Lacedemônia, Jardim Brasil (zona Sul), São Paulo Zona Sul, São Paulo",1.800
sul,60 m² construídos2 quartos,"Rua Major Maragliano, Vila Mariana, São Paulo Zona Sul, São Paulo",2.200
sul,58 m² construídos2 quartos,"Rua Sena Madureira, Vila Clementino, São Paulo Zona Sul, São Paulo",3.500
sul,40 m² construídos1 quarto,"Rua Comendador Miguel Calfat, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",2.400
sul,51 m² construídos1 quarto,"Alameda Itu, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.200
sul,33 m² construídos1 quarto,"Rua Maestro Elias Lobo, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.000
sul,72 m² construídos3 quartos,"Rua Do Arraial, Vila Mariana, São Paulo Zona Sul, São Paulo",3.000
sul,100 m² construídos3 quartos,"Avenida Fagundes Filho, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",3.392
sul,70 m² construídos3 quartos,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",3.100
sul,130 m² construídos3 quartos,"Rua Queluz, Jardim Paulista, São Paulo Zona Sul, São Paulo",5.100
sul,15 m² construídos1 quarto,"Avenida Mário Lopes Leão, Santo Amaro, São Paulo Zona Sul, São Paulo",1.906
